Loss Type,Alpha,Pearson Correlation,Entropy,Active Neurons
Pearson,1,0.24474740490257454,0.70543134,1.2603293797052193
Pearson,5,0.14048576116563996,0.66427743,1.2369761825481573
Pearson,10,0.08364396656288964,0.6308465,1.2191377799210805
Pearson,50,0.014154671385080272,0.62222856,1.2197784743511726
