Loss Type,Lambda,Pearson Correlation,Entropy,Active Neurons
Entropy,0,0.2818607542970619,0.7152464,1.270994224564546
Entropy,0,0.24850441114881594,0.6843259,1.2521488523761957
Entropy,0,0.2698960902389789,0.70751065,1.2640361452699986
Entropy,0,0.2395191980654571,0.69706285,1.25796026469789
Entropy,0,0.25959324311954557,0.7071282,1.2628668970717125
Entropy,0.5,0.29549584640010806,0.7153433,1.2754882711584168
Entropy,0.5,0.2552917149167926,0.7119256,1.270651678856701
Entropy,0.5,0.2187639891678391,0.6353135,1.2291837461104795
Entropy,0.5,0.27468082551240114,0.4042997,1.2118865274285342
Entropy,0.5,0.28009192276096817,0.71358836,1.2753206342645218
Entropy,1,0.24435415827047668,0.68995535,1.250071762368962
Entropy,1,0.42106344806086654,0.025175255,1.0015347578641989
Entropy,1,0.6091933947447105,0.03301754,1.0021800450859044
Entropy,1,0.22935768488938693,0.41880146,1.2002874322084822
Entropy,1,0.46753359931523786,0.029189479,1.0018512777529
Entropy,5,0.4036930691309782,0.013728294,1.000662892922891
Entropy,5,0.44450388130830093,0.03662484,1.0029405348305833
Entropy,5,0.3852496999256541,0.0067376033,1.0002235227880334
Entropy,5,0.465850188924807,0.0079273665,1.0002797775557928
Entropy,5,0.43867200435321446,0.015466714,1.0007601070120447
