Loss Type,Alpha,Pearson Correlation,Entropy,Active Neurons
Entropy,10,0.616064234084947,0.0077272845,1.000249541773178
Entropy,1,0.22935768488938693,0.41880146,1.2002874322084822
Entropy,5,0.465850188924807,0.0079273665,1.0002797775557928
Entropy,0.5,0.27468082551240114,0.4042997,1.2118865274285342
